#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=30.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:43 out:45 type:b dur:2 cpbdur:2 q:36.03 aq:31.01 tex:29 mv:41 misc:410 imb:4 pmb:0 smb:8156 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:36.03 aq:36.91 tex:75 mv:128 misc:621 imb:2 pmb:112 smb:8046 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:36.03 aq:26.99 tex:5033 mv:433 misc:1366 imb:14 pmb:167 smb:7979 d:- ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:36.03 aq:20.22 tex:20 mv:18 misc:426 imb:1 pmb:2 smb:8157 d:- ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:22 mv:7 misc:395 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:54 out:51 type:P dur:2 cpbdur:2 q:36.03 aq:25.05 tex:4086 mv:312 misc:1018 imb:19 pmb:105 smb:8036 d:- ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:36.03 aq:35.84 tex:487 mv:48 misc:441 imb:0 pmb:12 smb:8148 d:- ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:1 mv:19 misc:412 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:2 mv:30 misc:416 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:36.03 aq:21.81 tex:3132 mv:303 misc:933 imb:28 pmb:76 smb:8056 d:- ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:1 mv:23 misc:424 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:2 mv:13 misc:409 imb:0 pmb:6 smb:8154 d:- ref:0 ;
